code,name,market,price,volume_ratio,price_change_pct,score
491000,리브스메드,KOSDAQ,27650,2.89,-9.49,7.63
437730,삼현,KOSDAQ,49400,2.69,-6.26,5.82
298380,에이비엘바이오,KOSDAQ,56800,3.18,-4.86,5.6
