code,name,market,sector,is_growth,volume_ratio,per,pbr,score
041190,우리기술투자,KOSDAQ,우량기업부,False,4.64,4.57,0.65,10.15
171090,선익시스템,KOSDAQ,우량기업부,False,1.89,6.53,4.39,2.89
