code,name,market,price,volume_ratio,price_change_pct,score
486990,노타,KOSDAQ,22550,25.74,28.93,40.2
007810,코리아써키트,KOSPI,66400,13.0,25.52,25.76
356860,티엘비,KOSDAQ,44600,4.12,15.99,12.12
059090,미코,KOSDAQ,22200,6.09,10.45,11.32
425420,티에프이,KOSDAQ,64400,4.35,9.71,9.21
222800,심텍,KOSDAQ,148900,2.56,13.15,9.13
353200,대덕전자,KOSPI,111700,3.88,8.55,8.15
053610,프로텍,KOSDAQ,72900,4.77,6.58,8.06
020560,아시아나항공,KOSPI,8330,3.76,8.32,7.92
001440,대한전선,KOSPI,31900,4.8,5.45,7.53
003490,대한항공,KOSPI,31650,2.66,8.95,7.13
399720,가온칩스,KOSDAQ,46750,3.79,6.01,6.79
058470,리노공업,KOSDAQ,75500,3.12,7.24,6.74
420770,기가비스,KOSDAQ,118900,2.74,6.73,6.1
066570,LG전자,KOSPI,215000,2.51,5.91,5.47
214430,아이쓰리시스템,KOSDAQ,69000,2.64,5.67,5.47
388210,씨엠티엑스,KOSDAQ,86500,2.67,4.98,5.16
103590,일진전기,KOSPI,77400,2.58,4.74,4.95
052690,한전기술,KOSPI,137400,2.49,4.65,4.81
053800,안랩,KOSDAQ,71800,2.02,4.36,4.2
