code,name,market,price,volume_ratio,price_change_pct,score
468530,프로티나,KOSDAQ,46900,4.62,17.4,13.32
092870,엑시콘,KOSDAQ,43300,3.46,13.95,10.43
440110,파두,KOSDAQ,81400,2.98,12.59,9.27
356680,엑스게이트,KOSDAQ,18320,4.39,9.44,9.11
005290,동진쎄미켐,KOSDAQ,46850,4.07,8.57,8.36
080580,오킨스전자,KOSDAQ,25050,3.28,8.68,7.61
295310,에이치브이엠,KOSDAQ,64100,2.42,9.95,7.39
357780,솔브레인,KOSDAQ,368000,2.54,8.88,6.98
253590,네오셈,KOSDAQ,13640,5.29,3.02,6.8
229640,LS에코에너지,KOSPI,64000,3.21,6.31,6.36
103590,일진전기,KOSPI,81800,3.32,5.68,6.16
009830,한화솔루션,KOSPI,29400,2.27,6.52,5.53
030530,원익홀딩스,KOSDAQ,28000,2.19,6.26,5.32
104830,원익머트리얼즈,KOSDAQ,36900,2.1,6.34,5.27
140860,파크시스템스,KOSDAQ,265000,2.04,4.95,4.52
053610,프로텍,KOSDAQ,76100,2.24,4.39,4.44
