code,name,market,price,volume_ratio,price_change_pct,score
475830,오름테라퓨틱,KOSDAQ,26550,50.26,-29.01,64.76
272210,한화시스템,KOSPI,77200,3.83,-3.38,5.52
001440,대한전선,KOSPI,30250,2.13,-4.42,4.35
