code,name,market,volume_ratio,price_change_pct,score
000880,한화,KOSPI,41.52,40.93,61.98
041190,우리기술투자,KOSDAQ,18.06,15.84,25.98
052690,한전기술,KOSPI,13.11,20.27,23.24
036810,에프에스티,KOSDAQ,2.53,20.8,12.92
225570,넥슨게임즈,KOSDAQ,5.05,15.39,12.74
232140,와이씨,KOSDAQ,2.55,19.02,12.06
000720,현대건설,KOSPI,3.68,14.87,11.11
356860,티엘비,KOSDAQ,2.53,14.67,9.86
083650,비에이치아이,KOSDAQ,2.1,13.8,9.0
085620,미래에셋생명,KOSPI,2.18,11.69,8.03
034020,두산에너빌리티,KOSPI,2.49,10.55,7.76
009520,포스코엠텍,KOSDAQ,4.54,6.04,7.56
124500,아이티센글로벌,KOSDAQ,3.58,6.86,7.01
103140,풍산,KOSPI,2.92,6.57,6.21
004020,현대제철,KOSPI,2.07,7.5,5.82
010130,고려아연,KOSPI,2.11,6.18,5.19
