code,name,market,price,volume_ratio,price_change_pct,score
437730,삼현,KOSDAQ,52700,5.5,33.08,22.04
160190,하이젠알앤엠,KOSDAQ,25250,8.94,25.62,21.75
030530,원익홀딩스,KOSDAQ,25750,4.48,20.61,14.79
036540,SFA반도체,KOSDAQ,8600,6.31,15.28,13.95
056190,SFA,KOSDAQ,28500,4.93,14.69,12.27
058610,에스피지,KOSDAQ,103200,4.07,15.96,12.05
417200,LS머트리얼즈,KOSDAQ,12500,5.86,11.51,11.61
456160,지투지바이오,KOSDAQ,34200,6.37,9.62,11.18
004020,현대제철,KOSPI,35200,2.75,8.31,6.9
053800,안랩,KOSDAQ,63300,4.04,3.26,5.67
375500,DL이앤씨,KOSPI,88400,2.27,5.62,5.08
001430,세아베스틸지주,KOSPI,43100,2.17,5.38,4.86
