code,name,market,sector,is_growth,price,volume_ratio,per,pbr,score
052400,코나아이,KOSDAQ,우량기업부,False,37450,9.19,7.33,2.11,12.54
041510,에스엠,KOSDAQ,우량기업부,False,86600,1.65,5.8,2.01,2.85
