code,name,market,price,volume_ratio,price_change_pct,score
030530,원익홀딩스,KOSDAQ,22500,5.98,29.91,20.93
108490,로보티즈,KOSDAQ,304500,6.4,22.54,17.67
115180,큐리언트,KOSDAQ,23050,2.63,17.3,11.29
033790,피노,KOSDAQ,10200,3.51,15.52,11.27
160190,하이젠알앤엠,KOSDAQ,19180,3.48,14.37,10.66
064290,인텍플러스,KOSDAQ,40150,2.28,16.72,10.63
127120,제이에스링크,KOSDAQ,33600,2.99,12.37,9.18
267250,HD현대,KOSPI,240500,2.23,12.65,8.56
058610,에스피지,KOSDAQ,94200,2.26,12.41,8.46
263750,펄어비스,KOSDAQ,34500,2.11,11.47,7.84
041190,우리기술투자,KOSDAQ,6220,2.32,8.93,6.78
090360,로보스타,KOSDAQ,76400,2.25,8.99,6.74
056080,유진로봇,KOSDAQ,11890,2.22,7.7,6.07
010950,S-Oil,KOSPI,157300,2.54,6.36,5.72
020560,아시아나항공,KOSPI,8080,3.02,3.86,4.94
