code,name,market,volume_ratio,price_change_pct,score
476060,온코닉테라퓨틱스,KOSDAQ,9.89,22.07,20.93
0126Z0,삼성에피스홀딩스,KOSPI,14.92,3.61,16.73
033790,피노,KOSDAQ,4.84,16.3,12.98
011070,LG이노텍,KOSPI,5.67,5.07,8.21
293490,카카오게임즈,KOSDAQ,3.61,6.66,6.94
213420,덕산네오룩스,KOSDAQ,3.63,6.37,6.81
066970,엘앤에프,KOSPI,2.08,8.83,6.49
020150,롯데에너지머티리얼즈,KOSPI,2.77,7.08,6.31
003670,포스코퓨처엠,KOSPI,2.38,7.62,6.19
086450,동국제약,KOSDAQ,4.38,3.49,6.12
032500,케이엠더블유,KOSDAQ,4.1,3.75,5.97
457190,이수스페셜티케미컬,KOSPI,2.32,5.9,5.27
035760,CJ ENM,KOSDAQ,3.5,3.2,5.1
183300,코미코,KOSDAQ,2.27,4.13,4.34
