code,name,market,price,volume_ratio,price_change_pct,score
036540,SFA반도체,KOSDAQ,10610,6.67,18.02,15.68
437730,삼현,KOSDAQ,55600,10.38,9.02,14.88
232140,와이씨,KOSDAQ,14290,4.98,19.48,14.72
328130,루닛,KOSDAQ,10240,5.5,16.76,13.88
067310,하나마이크론,KOSDAQ,45150,4.77,17.12,13.33
144960,뉴파워프라즈마,KOSDAQ,11870,4.17,16.03,12.18
160190,하이젠알앤엠,KOSDAQ,30100,2.26,13.37,8.95
036810,에프에스티,KOSDAQ,30200,2.58,12.06,8.61
388210,씨엠티엑스,KOSDAQ,82400,2.65,11.35,8.33
131970,두산테스나,KOSDAQ,95700,2.73,10.89,8.17
253590,네오셈,KOSDAQ,13180,3.55,7.42,7.26
041190,우리기술투자,KOSDAQ,6120,2.15,10.07,7.19
204270,제이앤티씨,KOSDAQ,25300,3.72,6.75,7.09
122640,예스티,KOSDAQ,32250,2.46,8.95,6.94
007660,이수페타시스,KOSPI,110400,2.14,7.81,6.04
240810,원익IPS,KOSDAQ,130900,2.08,7.74,5.95
125490,한라캐스트,KOSDAQ,12530,3.16,5.03,5.68
127120,제이에스링크,KOSDAQ,34400,2.25,6.01,5.25
027360,아주IB투자,KOSDAQ,4035,2.7,3.99,4.7
