code,name,market,price,volume_ratio,price_change_pct,score
027360,아주IB투자,KOSDAQ,3810,15.81,8.39,20.01
347700,스피어,KOSDAQ,24100,9.81,18.43,19.02
043260,성호전자,KOSDAQ,22200,9.92,17.58,18.71
295310,에이치브이엠,KOSDAQ,61700,7.54,14.47,14.78
272210,한화시스템,KOSPI,79600,4.16,15.53,11.93
082740,한화엔진,KOSPI,53800,3.33,11.85,9.25
033640,네패스,KOSDAQ,26700,3.56,10.56,8.84
368770,파이버프로,KOSDAQ,13410,2.35,8.06,6.38
119850,지엔씨에너지,KOSDAQ,51200,2.21,7.9,6.16
067310,하나마이크론,KOSDAQ,37950,2.62,6.75,6.0
001430,세아베스틸지주,KOSPI,45950,2.53,6.37,5.71
100790,미래에셋벤처투자,KOSDAQ,17140,3.57,4.07,5.6
189300,인텔리안테크,KOSDAQ,69400,2.39,6.28,5.53
099320,쎄트렉아이,KOSDAQ,79000,2.15,6.04,5.17
050890,쏠리드,KOSDAQ,9390,3.31,3.19,4.9
126340,비나텍,KOSDAQ,79300,2.95,3.8,4.85
417200,LS머트리얼즈,KOSDAQ,13160,2.28,3.38,3.97
