code,name,market,sector,is_growth,volume_ratio,per,pbr,score
137400,피엔티,KOSDAQ,우량기업부,False,5.41,9.48,1.11,5.7
018290,브이티,KOSDAQ,우량기업부,False,1.59,7.48,1.85,2.12
