code,name,market,sector,is_growth,volume_ratio,per,pbr,score
023160,태광,KOSDAQ,우량기업부,False,5.01,9.88,1.01,5.07
041190,우리기술투자,KOSDAQ,우량기업부,False,1.58,4.58,0.65,3.46
