code,name,market,price,volume_ratio,price_change_pct,score
229640,LS에코에너지,KOSPI,55300,13.45,9.5,18.2
126340,비나텍,KOSDAQ,76400,7.11,16.46,15.34
010170,대한광통신,KOSDAQ,16230,5.13,13.34,11.8
050890,쏠리드,KOSDAQ,9100,9.58,3.53,11.34
043260,성호전자,KOSDAQ,18880,4.27,11.39,9.96
219130,타이거일렉,KOSDAQ,73500,3.51,11.36,9.2
032500,케이엠더블유,KOSDAQ,18120,4.17,10.02,9.18
069540,빛과전자,KOSDAQ,4425,4.02,7.01,7.53
218410,RFHIC,KOSDAQ,52100,2.76,4.3,4.91
001120,LX인터내셔널,KOSPI,41050,3.17,3.4,4.87
036540,SFA반도체,KOSDAQ,8920,2.39,3.12,3.95
