code,name,market,volume_ratio,price_change_pct,score
319400,현대무벡스,KOSDAQ,4.21,10.67,9.54
083650,비에이치아이,KOSDAQ,3.82,8.5,8.06
307950,현대오토에버,KOSPI,2.34,9.02,6.85
257720,실리콘투,KOSDAQ,2.79,5.02,5.31
