code,name,market,price,volume_ratio,price_change_pct,score
043260,성호전자,KOSDAQ,26400,9.18,18.92,18.64
000500,가온전선,KOSPI,322000,5.29,21.97,16.27
229640,LS에코에너지,KOSPI,60300,6.85,11.87,12.79
001440,대한전선,KOSPI,31650,6.34,10.28,11.48
010170,대한광통신,KOSDAQ,18400,4.64,13.23,11.26
218410,RFHIC,KOSDAQ,61300,4.25,13.52,11.01
009155,삼성전기우,KOSPI,506000,7.93,3.69,9.78
125490,한라캐스트,KOSDAQ,11930,7.54,4.28,9.68
420770,기가비스,KOSDAQ,112100,2.82,10.99,8.32
060370,LS마린솔루션,KOSDAQ,33650,6.29,3.7,8.14
103590,일진전기,KOSPI,75900,3.43,7.05,6.95
160190,하이젠알앤엠,KOSDAQ,26550,2.92,7.93,6.89
328130,루닛,KOSDAQ,8770,3.46,5.79,6.35
032500,케이엠더블유,KOSDAQ,19650,2.36,7.97,6.34
050890,쏠리드,KOSDAQ,9740,4.2,3.73,6.06
319400,현대무벡스,KOSDAQ,22850,3.7,4.34,5.87
056080,유진로봇,KOSDAQ,12640,2.29,6.94,5.75
417200,LS머트리얼즈,KOSDAQ,13730,3.51,4.33,5.68
045100,한양이엔지,KOSDAQ,31800,2.79,4.95,5.27
183300,코미코,KOSDAQ,30850,2.55,5.29,5.2
119850,지엔씨에너지,KOSDAQ,54000,2.32,5.47,5.05
144960,뉴파워프라즈마,KOSDAQ,10230,2.03,6.01,5.03
489790,한화비전,KOSPI,47350,2.58,4.76,4.96
090710,휴림로봇,KOSDAQ,6490,2.35,5.02,4.86
000155,두산우,KOSPI,471000,2.44,4.78,4.83
399720,가온칩스,KOSDAQ,42400,3.12,3.41,4.83
368770,파이버프로,KOSDAQ,13930,2.76,3.88,4.7
483650,달바글로벌,KOSPI,182100,2.16,4.96,4.64
