code,name,market,sector,is_growth,price,volume_ratio,per,pbr,score
171090,선익시스템,KOSDAQ,우량기업부,False,64700,1.6,5.9,3.97,2.72
035890,서희건설,KOSDAQ,중견기업부,False,2265,1.68,3.41,0.39,4.92
