code,name,market,sector,is_growth,price,volume_ratio,per,pbr,score
041190,우리기술투자,KOSDAQ,기타,False,6020,1.74,4.21,0.6,4.13
016360,삼성증권,KOSPI,기타,False,90300,1.63,8.04,1.0,2.03
