code,name,market,price,volume_ratio,price_change_pct,score
101730,위메이드맥스,KOSDAQ,5200,9.31,29.84,24.23
356680,엑스게이트,KOSDAQ,17180,10.78,6.97,14.26
052400,코나아이,KOSDAQ,37450,9.19,7.0,12.69
069540,빛과전자,KOSDAQ,4355,5.9,12.53,12.16
112040,위메이드,KOSDAQ,16190,8.37,3.45,10.1
251970,펌텍코리아,KOSDAQ,58200,2.53,10.23,7.64
053800,안랩,KOSDAQ,61300,4.77,3.37,6.46
093370,후성,KOSPI,14220,2.62,6.84,6.04
036540,SFA반도체,KOSDAQ,7460,2.8,5.97,5.79
272210,한화시스템,KOSPI,73300,3.4,3.39,5.09
000990,DB하이텍,KOSPI,111800,2.07,5.67,4.9
