code,name,market,sector,is_growth,volume_ratio,per,pbr,score
041190,우리기술투자,KOSDAQ,우량기업부,False,6.69,4.13,0.59,16.21
036830,솔브레인홀딩스,KOSDAQ,우량기업부,False,2.44,1.85,0.52,13.21
