code,name,market,sector,is_growth,price,volume_ratio,per,pbr,score
041510,에스엠,KOSDAQ,우량기업부,False,84000,1.53,5.54,1.92,2.76
137400,피엔티,KOSDAQ,우량기업부,False,29600,1.52,9.25,1.08,1.65
